Category,File,Warning Type,Severity,Status,Assigned To,Notes
no-console,client/src/utils/logger.js,no-console,Medium,COMPLETE,,Replaced with proper logger calls
no-console,client/src/utils/offlineSync.js,no-console,Medium,COMPLETE,,Replaced with proper logger calls
no-console,server/manual-test.js,no-console,Low,COMPLETE,,Development only file - added comment
no-console,server/routes/ponds.js,no-console,Medium,COMPLETE,,Replaced with proper logger calls
no-console,server/seed.js,no-console,Medium,COMPLETE,,Replaced with proper logger calls
no-console,server/test-connection.js,no-console,Low,COMPLETE,,Replaced with proper logger calls
import/no-anonymous-default-export,client/src/utils/apiCache.js,import/no-anonymous-default-export,Low,COMPLETE,,Assigned to variable before export
import/no-anonymous-default-export,client/src/utils/cacheManager.js,import/no-anonymous-default-export,Low,COMPLETE,,Assigned to variable before export
import/no-anonymous-default-export,client/src/utils/dataValidation.js,import/no-anonymous-default-export,Low,COMPLETE,,Assigned to variable before export
import/no-anonymous-default-export,client/src/utils/debugUtils.js,import/no-anonymous-default-export,Low,COMPLETE,,Assigned to variable before export
no-await-in-loop,server/controllers/eventController.js,no-await-in-loop,High,TODO,,Refactor async loop logic
no-await-in-loop,server/controllers/feedInputController.js,no-await-in-loop,High,TODO,,Refactor async loop logic
no-await-in-loop,server/utils/dbUtils.js,no-await-in-loop,High,TODO,,Refactor async loop logic
react/prop-types,client/src/__tests__/DashboardPage.test.js,react/prop-types,Medium,TODO,,Add prop-types to test components
react/prop-types,client/src/components/common/AlertBanner.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/common/CustomCalendar.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/common/DataTrend.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/common/KPICard.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/common/PondCard.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/common/ResponsiveTable.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/common/WidgetContainer.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/dashboard/DashboardHeader.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/dashboard/PredictiveInsight.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/dashboard/QuickActions.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/inventory/InventoryAdjustmentModal.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/inventory/InventoryForm.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/ponds/PondDetail.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/ponds/PondForm.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/ponds/PondHealthScore.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/ponds/PondTimeline.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/DataVisualization.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/FilterPanel.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/PondCopyModal.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/SearchBar.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/SeasonSelector.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/charts/DataTrend.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/charts/KPICard.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/charts/ResponsiveTable.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/charts/WidgetContainer.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/error-handling/ErrorBoundary.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/error-handling/GlobalErrorHandler.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/modals/ConfirmationDialog.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/features/shared/modals/InfoDialog.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/nursery/NurseryBatchDetail.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/nursery/NurseryBatchForm.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/components/nursery/NurseryBatchList.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/pages/DashboardPage.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/pages/InventoryPage.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/pages/PondDetailPage.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/pages/PondsPage.js,react/prop-types,Medium,TODO,,Add prop-types
no-magic-numbers,client/src/utils/accessibility.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/cache.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/chartUtils.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/dataAggregation.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/dataProcessing.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/dateUtils.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/debugging.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/errorHandling.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/formatters.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/i18n.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/lazyLoading.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/offlineSync.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/optimizedDataStructures.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/responsiveUtils.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/robustTesting.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/sanitization.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/secureStorage.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/testUtils.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-unused-vars,client/src/utils/accessibility.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/api.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/cache.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/chartUtils.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/dataAggregation.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/dataProcessing.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/dateUtils.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/debugging.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/errorHandling.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/formatters.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/i18n.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/lazyLoading.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/offlineSync.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/optimizedDataStructures.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/optimizedImports.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/responsiveUtils.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/robustTesting.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/rtlUtils.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/sanitization.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/secureStorage.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/stateManagement.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/testUtils.js,no-unused-vars,Low,TODO,,Remove unused variables
react-hooks/exhaustive-deps,client/src/utils/optimizedDataStructures.js,react-hooks/exhaustive-deps,High,TODO,,Fix hook dependencies
react-hooks/exhaustive-deps,client/src/utils/stateManagement.js,react-hooks/exhaustive-deps,High,TODO,,Fix hook dependencies
react/display-name,client/src/__tests__/DashboardPage.test.js,react/display-name,Low,TODO,,Add display names to components
max-lines,client/src/utils/optimizedDataStructures.js,max-lines,Medium,TODO,,Split into smaller files
max-lines,client/src/utils/propTypes.js,max-lines,Medium,TODO,,Split into smaller files
max-lines-per-function,client/src/utils/optimizedDataStructures.js,max-lines-per-function,Medium,TODO,,Split into smaller functions